binarize,average,distribution,sample_size,stat,pvalue
True,True,diff_mean,100.0,0.543005570407721,0.0001
True,True,diff_mean,100.0,0.5372620796238113,0.0001
True,True,diff_mean,100.0,0.25990424205354,0.0001
True,True,diff_mean,100.0,0.34830925099397403,0.0001
True,True,diff_mean,100.0,0.3666934178621982,0.0001
True,True,diff_mean,100.0,0.35860396257072324,0.0001
True,True,diff_mean,100.0,0.3126369852936997,0.0001
True,True,diff_mean,100.0,0.31417536477290764,0.0001
True,True,diff_mean,100.0,0.20178529680174642,0.0001
True,True,diff_mean,100.0,0.28749309220954117,0.0001
True,True,diff_mean,100.0,0.392310126558375,0.0001
True,True,diff_mean,100.0,0.3603674690612047,0.0001
True,True,diff_mean,100.0,0.44778705783245815,0.0001
True,True,diff_mean,100.0,0.41710467165466336,0.0001
True,True,diff_mean,100.0,0.35239553861874845,0.0001
True,True,diff_mean,100.0,0.3033404659960737,0.0001
True,True,diff_mean,100.0,0.3999081644288181,0.0001
True,True,diff_mean,100.0,0.4518342780945088,0.0001
True,True,diff_mean,100.0,0.2568641456730449,0.0001
True,True,diff_mean,100.0,0.35353853952337005,0.0001
True,True,diff_mean,100.0,0.40277926138305215,0.0001
True,True,diff_mean,100.0,0.5092127155145916,0.0001
True,True,diff_mean,100.0,0.4624721220058578,0.0001
True,True,diff_mean,100.0,0.3497088185076481,0.0001
